gmt_create,predict_type,predict_status,exec_time_seconds,groupId,prompt_length,negative_prompt_length,num_images_per_prompt,num_inference_steps,checkpoint_model_version_id,num_lora
2024-11-15 22:38:50,TXT_2_IMG,SUCCEED,20.0,G0005,60.0,26.0,4.0,30.0,M0002,0
2024-11-15 22:38:53,TXT_2_IMG,SUCCEED,17.0,G0006,14.0,27.0,8.0,30.0,M0004,0
2024-11-15 22:39:21,TXT_2_IMG,SUCCEED,16.0,G0006,14.0,27.0,8.0,30.0,M0004,0
2024-11-15 22:40:42,TXT_2_IMG,SUCCEED,16.0,G0006,17.0,27.0,8.0,30.0,M0004,0
2024-11-15 22:40:48,TXT_2_IMG,SUCCEED,19.0,G0005,67.0,26.0,1.0,30.0,M0002,0
2024-11-15 22:41:19,TXT_2_IMG,SUCCEED,18.0,G0005,67.0,26.0,8.0,30.0,M0002,0
2024-11-15 22:41:48,TXT_2_IMG,SUCCEED,13.0,G0006,17.0,27.0,8.0,30.0,M0006,0
2024-11-15 22:42:07,TXT_2_IMG,SUCCEED,19.0,G0005,67.0,26.0,8.0,30.0,M0002,0
2024-11-15 22:42:28,TXT_2_IMG,SUCCEED,16.0,G0006,15.0,27.0,8.0,30.0,M0006,0
2024-11-15 22:43:51,TXT_2_IMG,SUCCEED,20.0,G0005,64.0,26.0,8.0,30.0,M0002,0
2024-11-15 22:43:52,TXT_2_IMG,SUCCEED,19.0,G0006,15.0,27.0,8.0,30.0,M0006,1
2024-11-15 22:44:41,TXT_2_IMG,SUCCEED,18.0,G0005,64.0,26.0,8.0,30.0,M0002,0
2024-11-15 22:44:44,TXT_2_IMG,SUCCEED,9.0,G0006,15.0,27.0,1.0,30.0,M0006,1
2024-11-15 22:45:17,TXT_2_IMG,SUCCEED,9.0,G0006,15.0,27.0,1.0,30.0,M0006,1
2024-11-15 22:45:29,TXT_2_IMG,SUCCEED,21.0,G0005,64.0,26.0,8.0,30.0,M0002,0
2024-11-15 22:45:48,TXT_2_IMG,SUCCEED,14.0,G0006,15.0,27.0,1.0,64.0,M0006,1
2024-11-15 22:46:16,TXT_2_IMG,SUCCEED,16.0,G0006,49.0,27.0,1.0,64.0,M0006,1
2024-11-15 22:46:48,TXT_2_IMG,SUCCEED,17.0,G0006,50.0,27.0,1.0,64.0,M0006,1
2024-11-15 22:47:23,TXT_2_IMG,SUCCEED,12.0,G0006,50.0,28.0,1.0,64.0,M0006,1
2024-11-15 22:48:01,TXT_2_IMG,SUCCEED,10.0,G0006,51.0,28.0,1.0,64.0,M0006,1
2024-11-15 22:48:31,TXT_2_IMG,SUCCEED,10.0,G0006,51.0,28.0,1.0,25.0,M0006,1
2024-11-15 22:48:48,TXT_2_IMG,SUCCEED,17.0,G0006,51.0,28.0,1.0,98.0,M0006,1
2024-11-15 22:49:20,TXT_2_IMG,SUCCEED,42.0,G0006,51.0,28.0,1.0,98.0,M0006,1
2024-11-15 22:50:36,TXT_2_IMG,SUCCEED,17.0,G0006,101.0,26.0,1.0,30.0,M0006,0
2024-11-15 22:52:26,TXT_2_IMG,SUCCEED,13.0,G0006,48.0,26.0,1.0,30.0,M0006,0
2024-11-15 22:53:35,TXT_2_IMG,SUCCEED,16.0,G0007,58.0,26.0,1.0,30.0,M0002,0
2024-11-15 22:53:47,IMG_2_IMG,SUCCEED,19.0,G0006,51.0,28.0,1.0,98.0,M0006,1
2024-11-15 22:54:29,IMG_2_IMG,SUCCEED,13.0,G0006,51.0,28.0,1.0,32.0,M0006,1
2024-11-15 22:55:04,IMG_2_IMG,SUCCEED,8.0,G0006,51.0,28.0,1.0,32.0,M0006,1
2024-11-15 22:55:40,IMG_2_IMG,SUCCEED,14.0,G0006,55.0,28.0,1.0,32.0,M0006,1
2024-11-15 22:57:21,TXT_2_IMG,SUCCEED,15.0,G0007,21.0,26.0,1.0,30.0,M0004,0
2024-11-15 22:57:35,IMG_2_IMG,SUCCEED,13.0,G0006,64.0,28.0,1.0,32.0,M0006,1
2024-11-15 22:58:04,IMG_2_IMG,SUCCEED,20.0,G0006,59.0,28.0,8.0,32.0,M0006,1
2024-11-15 23:01:40,TXT_2_IMG,SUCCEED,21.0,G0006,2.0,26.0,1.0,30.0,M0006,1
2024-11-15 23:02:55,TXT_2_IMG,SUCCEED,15.0,G0006,61.0,26.0,1.0,30.0,M0006,1
2024-11-16 01:13:18,INPAINTING,SUCCEED,19.0,G0001,8.0,,1.0,40.0,M0007,0
2024-11-16 01:13:52,INPAINTING,SUCCEED,21.0,G0001,8.0,,8.0,40.0,M0008,0
2024-11-16 01:15:28,INPAINTING,SUCCEED,21.0,G0001,7.0,,8.0,40.0,M0001,0
2024-11-16 01:16:35,INPAINTING,SUCCEED,20.0,G0001,7.0,,8.0,40.0,M0001,0
2024-11-16 01:19:53,INPAINTING,SUCCEED,23.0,G0001,7.0,,8.0,40.0,M0001,0
2024-11-16 01:26:01,INPAINTING,SUCCEED,15.0,G0001,7.0,,8.0,40.0,M0001,0
2024-11-16 01:33:05,TXT_2_IMG,SUCCEED,21.0,G0001,58.0,26.0,8.0,30.0,M0002,0
2024-11-16 01:34:06,TXT_2_IMG,SUCCEED,23.0,G0001,58.0,26.0,8.0,30.0,M0002,0
2024-11-16 02:23:53,IMG_2_IMG,SUCCEED,23.0,G0008,8.0,,1.0,30.0,M0004,0
2024-11-16 02:31:31,INPAINTING,SUCCEED,28.0,G0008,8.0,,1.0,30.0,M0004,0
2024-11-16 02:32:58,INPAINTING,SUCCEED,25.0,G0008,9.0,,1.0,30.0,M0004,0
2024-11-16 02:34:10,INPAINTING,SUCCEED,16.0,G0008,6.0,,1.0,30.0,M0004,0
2024-11-16 02:35:06,IMG_2_IMG,SUCCEED,32.0,G0008,8.0,,1.0,30.0,M0009,0
2024-11-16 02:35:56,INPAINTING,SUCCEED,31.0,G0008,8.0,,1.0,30.0,M0009,0
2024-11-16 15:55:14,TXT_2_IMG,SUCCEED,25.0,G0009,47.0,26.0,1.0,30.0,M0002,0
2024-11-16 16:24:59,IMG_2_IMG,SUCCEED,38.0,G0010,88.0,26.0,1.0,30.0,M0004,0
2024-11-16 16:26:19,IMG_2_IMG,SUCCEED,42.0,G0010,78.0,26.0,1.0,30.0,M0004,0
2024-11-16 19:38:19,TXT_2_IMG,SUCCEED,25.0,G0011,59.0,26.0,1.0,30.0,M0002,0
2024-11-16 19:39:24,TXT_2_IMG,SUCCEED,20.0,G0011,59.0,26.0,1.0,30.0,M0002,0
2024-11-16 19:40:48,TXT_2_IMG,SUCCEED,24.0,G0011,131.0,,1.0,30.0,M0002,0
2024-11-16 19:41:26,TXT_2_IMG,SUCCEED,22.0,G0011,81.0,,1.0,30.0,M0002,0
2024-11-16 21:35:20,TXT_2_IMG,SUCCEED,24.0,G0012,47.0,26.0,1.0,30.0,M0004,0
2024-11-16 21:36:48,TXT_2_IMG,SUCCEED,23.0,G0012,15.0,26.0,1.0,30.0,M0004,0
2024-11-16 21:37:23,TXT_2_IMG,SUCCEED,27.0,G0012,15.0,26.0,8.0,30.0,M0004,0
2024-11-16 21:38:27,TXT_2_IMG,SUCCEED,23.0,G0012,18.0,26.0,8.0,30.0,M0004,0
2024-11-16 21:39:08,TXT_2_IMG,SUCCEED,24.0,G0012,15.0,28.0,8.0,30.0,M0004,0
2024-11-16 21:40:23,TXT_2_IMG,SUCCEED,24.0,G0012,14.0,28.0,8.0,30.0,M0004,0
2024-11-16 21:41:39,TXT_2_IMG,SUCCEED,24.0,G0012,20.0,28.0,8.0,30.0,M0004,0
2024-11-16 21:42:40,TXT_2_IMG,SUCCEED,14.0,G0012,23.0,28.0,8.0,30.0,M0004,0
2024-11-16 21:43:30,TXT_2_IMG,SUCCEED,12.0,G0012,25.0,28.0,8.0,30.0,M0004,0
2024-11-16 21:43:59,TXT_2_IMG,SUCCEED,7.0,G0012,26.0,28.0,8.0,30.0,M0004,0
2024-11-16 21:44:23,TXT_2_IMG,SUCCEED,13.0,G0012,28.0,28.0,8.0,30.0,M0004,0
2024-11-16 21:45:05,TXT_2_IMG,SUCCEED,13.0,G0012,25.0,28.0,8.0,30.0,M0004,0
2024-11-16 21:45:22,TXT_2_IMG,SUCCEED,8.0,G0012,25.0,28.0,8.0,30.0,M0004,0
2024-11-16 21:45:46,TXT_2_IMG,SUCCEED,23.0,G0012,21.0,29.0,8.0,30.0,M0004,0
2024-11-16 21:46:39,TXT_2_IMG,SUCCEED,15.0,G0012,21.0,29.0,8.0,30.0,M0004,0
2024-11-16 21:48:28,TXT_2_IMG,SUCCEED,12.0,G0012,23.0,29.0,8.0,30.0,M0004,0
2024-11-16 21:49:01,TXT_2_IMG,SUCCEED,15.0,G0012,22.0,29.0,8.0,30.0,M0004,0
2024-11-16 21:49:55,TXT_2_IMG,SUCCEED,15.0,G0012,24.0,29.0,8.0,30.0,M0004,0
2024-11-16 22:02:42,TXT_2_IMG,SUCCEED,45.0,G0001,83.0,,1.0,40.0,M0001,0
2024-11-16 22:02:53,TXT_2_IMG,SUCCEED,37.0,G0001,83.0,,8.0,40.0,M0001,0
2024-11-16 22:05:43,TXT_2_IMG,SUCCEED,36.0,G0001,89.0,,8.0,40.0,M0001,0
2024-11-16 22:06:51,TXT_2_IMG,SUCCEED,37.0,G0001,93.0,,8.0,40.0,M0001,0
2024-11-16 22:08:12,TXT_2_IMG,SUCCEED,38.0,G0001,92.0,,8.0,40.0,M0001,0
2024-11-16 22:10:04,TXT_2_IMG,SUCCEED,19.0,G0001,124.0,,8.0,40.0,M0001,0
2024-11-16 22:10:09,IMG_2_IMG,SUCCEED,38.0,G0001,124.0,,8.0,40.0,M0001,0
2024-11-16 22:11:07,IMG_2_IMG,SUCCEED,52.0,G0001,124.0,,8.0,40.0,M0001,0
2024-11-16 22:12:21,IMG_2_IMG,SUCCEED,44.0,G0001,124.0,,8.0,40.0,M0001,0
2024-11-16 22:13:23,IMG_2_IMG,SUCCEED,42.0,G0001,124.0,,8.0,40.0,M0001,0
2024-11-16 22:15:01,IMG_2_IMG,SUCCEED,40.0,G0001,134.0,,8.0,40.0,M0001,0
2024-11-16 22:16:59,IMG_2_IMG,SUCCEED,43.0,G0001,102.0,,8.0,40.0,M0001,0
2024-11-16 22:18:38,IMG_2_IMG,SUCCEED,33.0,G0001,102.0,,8.0,40.0,M0001,0
2024-11-16 22:20:32,IMG_2_IMG,SUCCEED,42.0,G0001,119.0,,8.0,40.0,M0001,0
2024-11-16 22:22:49,IMG_2_IMG,SUCCEED,35.0,G0001,126.0,,8.0,40.0,M0001,0
2024-11-16 22:24:00,IMG_2_IMG,SUCCEED,33.0,G0001,126.0,,8.0,40.0,M0001,0
2024-11-16 22:24:56,IMG_2_IMG,SUCCEED,34.0,G0001,126.0,,8.0,40.0,M0001,0
2024-11-16 22:26:10,IMG_2_IMG,SUCCEED,32.0,G0001,126.0,,8.0,40.0,M0001,0
2024-11-16 22:27:29,IMG_2_IMG,SUCCEED,35.0,G0001,126.0,,8.0,40.0,M0001,0
2024-11-16 22:28:30,IMG_2_IMG,SUCCEED,31.0,G0001,126.0,,8.0,40.0,M0001,0
2024-11-16 22:30:25,IMG_2_IMG,SUCCEED,33.0,G0001,141.0,,8.0,40.0,M0001,0
2024-11-16 22:32:00,IMG_2_IMG,SUCCEED,34.0,G0001,141.0,,8.0,40.0,M0001,0
2024-11-16 22:32:53,IMG_2_IMG,SUCCEED,32.0,G0001,141.0,,8.0,40.0,M0001,0
2024-11-16 22:33:55,IMG_2_IMG,SUCCEED,33.0,G0001,141.0,,8.0,40.0,M0001,0
2024-11-16 22:34:51,IMG_2_IMG,SUCCEED,34.0,G0001,141.0,,8.0,40.0,M0001,0
2024-11-16 22:36:06,IMG_2_IMG,SUCCEED,32.0,G0001,142.0,,8.0,40.0,M0001,0
2024-11-16 22:38:05,IMG_2_IMG,SUCCEED,32.0,G0001,156.0,,8.0,40.0,M0001,0
2024-11-16 22:38:52,IMG_2_IMG,SUCCEED,34.0,G0001,156.0,,8.0,40.0,M0001,0
2024-11-16 22:40:15,IMG_2_IMG,SUCCEED,32.0,G0001,156.0,,8.0,40.0,M0001,0
2024-11-16 22:41:07,IMG_2_IMG,SUCCEED,34.0,G0001,156.0,,8.0,40.0,M0001,0
2024-11-16 22:43:03,IMG_2_IMG,SUCCEED,35.0,G0001,156.0,,8.0,40.0,M0001,0
2024-11-16 22:44:41,IMG_2_IMG,SUCCEED,33.0,G0001,156.0,,8.0,40.0,M0001,0
2024-11-16 22:45:35,IMG_2_IMG,SUCCEED,34.0,G0001,156.0,,8.0,40.0,M0001,0
2024-11-16 22:46:54,IMG_2_IMG,SUCCEED,30.0,G0001,156.0,,8.0,40.0,M0001,0
2024-11-16 22:55:06,IMG_2_IMG,SUCCEED,34.0,G0001,156.0,,8.0,40.0,M0001,0
2024-11-16 22:57:25,TXT_2_IMG,SUCCEED,34.0,G0001,21.0,26.0,1.0,40.0,M0001,0
2024-11-16 22:57:31,TXT_2_IMG,SUCCEED,37.0,G0001,21.0,26.0,8.0,40.0,M0001,0
2024-11-16 22:58:34,TXT_2_IMG,SUCCEED,34.0,G0001,21.0,26.0,8.0,40.0,M0001,0
2024-11-16 22:59:05,IMG_2_IMG,SUCCEED,42.0,G0001,161.0,,8.0,40.0,M0001,0
2024-11-16 23:00:06,TXT_2_IMG,SUCCEED,35.0,G0001,21.0,26.0,8.0,40.0,M0001,0
2024-11-16 23:00:21,IMG_2_IMG,SUCCEED,41.0,G0001,165.0,,8.0,40.0,M0001,0
2024-11-16 23:01:19,IMG_2_IMG,SUCCEED,40.0,G0001,165.0,,8.0,40.0,M0001,0
2024-11-16 23:02:52,TXT_2_IMG,SUCCEED,35.0,G0001,33.0,26.0,8.0,40.0,M0001,0
2024-11-16 23:03:41,TXT_2_IMG,SUCCEED,37.0,G0001,33.0,26.0,8.0,40.0,M0001,0
2024-11-16 23:03:58,IMG_2_IMG,SUCCEED,41.0,G0001,165.0,,8.0,40.0,M0001,0
2024-11-16 23:05:13,IMG_2_IMG,SUCCEED,41.0,G0001,165.0,,8.0,40.0,M0001,0
2024-11-16 23:05:20,TXT_2_IMG,SUCCEED,37.0,G0001,33.0,26.0,8.0,40.0,M0001,0
2024-11-16 23:06:09,IMG_2_IMG,SUCCEED,42.0,G0001,165.0,,8.0,40.0,M0001,0
